expense_id,incurred_on,department,category,amount,description
50,2024-01-04,Finance,events,76.67,laptop
51,2023-10-15,Marketing,office,1100.72,training course
52,2024-10-02,Sales,office,362.27,team offsite
53,2023-11-14,Engineering,travel,1498.59,laptop
54,2024-02-24,Sales,training,597.66,client dinner
55,2024-08-26,Sales,training,103.5,training course
56,2024-02-14,Marketing,recruiting,2604.37,laptop
57,2024-11-07,People,software,3281.28,client dinner
58,2024-01-21,Engineering,travel,2630.63,laptop
59,2024-02-19,Support,cloud,156.18,training course
60,2023-08-31,Sales,office,3911.16,job board
61,2023-10-16,People,cloud,312.28,client dinner
62,2024-06-27,Support,training,2936.5,team offsite
63,2024-07-12,Finance,travel,3508.63,training course
64,2023-11-22,Marketing,recruiting,2831.52,team offsite
65,2023-07-20,Operations,events,2693.91,laptop
66,2024-05-17,People,events,3556.46,conference travel
67,2024-08-16,Support,events,2885.39,conference travel
68,2023-07-23,Sales,training,3514.87,conference travel
69,2024-10-08,Product,training,3767.07,cloud overage
70,2024-02-07,Engineering,software,2964.85,job board
71,2024-07-30,People,travel,3853.66,client dinner
72,2023-07-28,Finance,software,37.14,conference travel
73,2023-09-09,Support,office,1697.55,conference travel
74,2023-12-14,Marketing,office,3602.89,laptop
75,2023-10-16,People,travel,1879.04,team offsite
76,2024-09-10,Finance,travel,668.98,laptop
77,2024-03-11,Marketing,travel,3488.01,team offsite
78,2024-02-17,Finance,travel,971.97,training course
79,2024-05-27,Finance,training,2989.53,training course
80,2024-10-03,Engineering,events,313.89,conference travel
81,2024-02-26,Engineering,recruiting,223.54,team offsite
82,2024-01-31,Sales,events,2349.08,cloud overage
83,2024-12-26,People,training,2042.51,cloud overage
84,2024-12-27,Operations,training,3592.79,cloud overage
85,2023-08-05,Engineering,cloud,1251.35,team offsite
86,2023-11-10,Sales,training,3116.77,cloud overage
87,2023-12-16,Engineering,office,1769.04,conference travel
88,2024-12-23,Engineering,events,1036.03,cloud overage
89,2024-09-24,Marketing,events,295.25,cloud overage
90,2024-05-05,Marketing,cloud,2591.45,team offsite
91,2023-09-05,Engineering,software,973.29,conference travel
92,2024-10-16,Support,office,2282.8,client dinner
93,2024-12-31,People,travel,92.62,training course
94,2024-01-14,Operations,office,1877.73,training course
95,2023-08-21,Operations,office,1511.7,team offsite
96,2024-06-30,Engineering,travel,1234.67,client dinner
97,2024-04-12,People,office,2496.69,laptop
98,2024-06-15,Product,events,2190.65,job board
99,2023-11-10,Operations,events,1376.51,conference travel
100,2024-10-20,Sales,cloud,3156.08,laptop
101,2024-08-18,Operations,travel,270.31,training course
102,2023-08-11,People,events,3820.89,training course
103,2024-05-26,Operations,cloud,2967.64,job board
104,2024-04-20,People,office,1643.82,cloud overage
105,2023-07-27,Finance,travel,2236.07,conference travel
106,2024-08-08,Operations,travel,2046.16,laptop
107,2023-08-08,People,recruiting,3751.98,conference travel
108,2024-01-30,Sales,events,2593.61,training course
109,2024-12-14,Support,cloud,2133.45,team offsite
110,2023-11-01,Support,cloud,1782.89,training course
111,2024-06-27,Operations,recruiting,3079.05,cloud overage
112,2023-11-20,Product,training,3767.02,job board
113,2023-11-13,Support,travel,2954.67,client dinner
114,2024-10-05,Finance,cloud,1281.47,conference travel
115,2023-07-01,Operations,training,2351.85,team offsite
116,2024-01-23,Operations,recruiting,2145.21,team offsite
117,2024-09-14,Marketing,travel,483.63,cloud overage
118,2023-08-22,Finance,events,1841.99,job board
119,2024-10-19,Operations,travel,1041.0,cloud overage
120,2024-08-22,Support,training,3324.66,client dinner
121,2024-03-04,Finance,software,787.54,job board
122,2024-12-31,People,software,143.64,team offsite
123,2023-09-05,Product,office,3364.93,conference travel
124,2023-12-07,Engineering,recruiting,3857.14,team offsite
125,2024-04-04,Finance,office,1064.95,team offsite
126,2024-01-05,Engineering,cloud,507.25,job board
127,2024-09-11,Marketing,training,2278.75,cloud overage
128,2024-05-08,Support,office,939.49,training course
129,2023-07-05,Finance,software,162.02,training course
130,2024-04-24,Support,cloud,2089.79,team offsite
131,2024-05-20,Product,events,1947.47,training course
132,2024-07-13,Sales,software,2739.99,laptop
133,2024-11-16,People,office,139.77,cloud overage
134,2023-12-05,People,recruiting,2042.47,training course
135,2024-04-21,Marketing,office,3546.54,cloud overage
136,2024-05-27,Support,software,2782.93,client dinner
137,2024-08-25,Operations,cloud,715.18,job board
138,2024-10-26,Marketing,software,3321.98,conference travel
139,2024-12-07,Marketing,office,3869.71,client dinner
140,2024-02-21,Operations,events,52.93,job board
141,2024-01-05,Engineering,events,3783.7,client dinner
142,2024-09-10,Finance,training,3754.57,conference travel
143,2024-04-02,Marketing,events,1729.53,client dinner
144,2023-07-23,Finance,cloud,510.68,training course
145,2023-10-25,Engineering,cloud,1540.83,conference travel
146,2024-08-02,Engineering,events,2051.05,laptop
147,2023-09-15,People,cloud,1453.67,job board
148,2024-08-20,Finance,cloud,1946.0,laptop
149,2023-09-22,Product,travel,762.49,training course
150,2023-09-09,Marketing,events,1703.97,cloud overage
151,2024-05-24,Support,training,2188.51,laptop
152,2023-12-08,Finance,office,2619.88,client dinner
153,2024-09-09,Finance,travel,479.7,conference travel
154,2024-07-27,Marketing,recruiting,520.66,job board
155,2024-06-04,Engineering,travel,547.44,conference travel
156,2023-12-07,People,travel,672.08,cloud overage
157,2023-11-28,Product,office,3715.77,client dinner
158,2023-12-11,Finance,recruiting,674.56,client dinner
159,2023-07-25,Support,software,3480.9,client dinner
160,2024-05-22,People,software,1855.34,laptop
161,2023-07-03,Finance,travel,1298.15,client dinner
162,2024-09-05,Engineering,office,1835.98,conference travel
163,2024-06-14,Engineering,travel,2408.53,cloud overage
164,2023-07-11,Marketing,cloud,718.72,team offsite
165,2024-08-13,Engineering,software,1060.35,laptop
166,2023-12-22,People,office,609.29,client dinner
167,2023-12-09,Operations,recruiting,3810.35,team offsite
168,2024-06-25,Finance,software,2874.23,team offsite
169,2023-11-26,Finance,software,1638.65,laptop
170,2023-12-29,Marketing,travel,3444.39,team offsite
171,2024-03-03,Support,training,820.0,team offsite
172,2024-05-26,Product,recruiting,3913.08,client dinner
173,2023-12-12,Marketing,travel,376.83,team offsite
174,2024-01-16,Marketing,recruiting,2299.45,client dinner
175,2024-10-20,Marketing,office,1025.71,job board
176,2024-01-03,Product,software,1429.28,cloud overage
177,2024-08-04,Operations,cloud,3978.54,team offsite
178,2023-07-30,Finance,cloud,812.18,client dinner
179,2023-07-28,Sales,office,3326.75,cloud overage
180,2024-02-24,People,events,1630.14,job board
181,2024-10-19,People,travel,2125.6,client dinner
182,2023-07-29,Marketing,travel,2075.01,team offsite
183,2023-08-10,Support,training,2308.94,cloud overage
184,2024-10-05,Support,cloud,3726.3,conference travel
185,2023-08-07,Finance,events,2296.01,client dinner
186,2024-04-05,Sales,office,419.15,cloud overage
187,2023-09-04,Operations,training,3783.84,client dinner
188,2024-11-14,Marketing,recruiting,3523.86,conference travel
189,2023-08-05,Finance,events,3801.01,client dinner
190,2024-04-09,Sales,recruiting,3238.43,cloud overage
191,2023-08-07,Operations,recruiting,1772.46,laptop
192,2024-07-12,Finance,events,2693.73,job board
193,2023-08-30,People,recruiting,1002.3,training course
194,2024-12-05,Sales,events,3013.36,training course
195,2024-11-04,Marketing,office,3241.27,laptop
196,2024-02-04,Engineering,travel,359.92,job board
197,2024-09-18,Engineering,events,184.45,team offsite
198,2023-11-15,Finance,training,3253.5,team offsite
199,2023-10-21,People,travel,3424.2,client dinner
200,2024-09-10,People,software,742.27,client dinner
201,2024-02-13,Product,events,3714.22,client dinner
202,2023-12-05,Support,recruiting,694.82,laptop
203,2023-11-11,People,training,1127.31,laptop
204,2023-11-25,Product,office,2546.2,team offsite
205,2023-07-10,People,travel,3611.75,laptop
206,2024-07-12,Sales,recruiting,59.62,training course
207,2024-02-06,Finance,software,3444.65,client dinner
208,2024-09-09,People,events,2074.63,client dinner
209,2024-09-08,Finance,recruiting,3839.1,team offsite
210,2024-06-24,Sales,recruiting,3323.28,laptop
211,2024-04-28,Operations,cloud,2379.26,training course
212,2024-07-15,People,travel,1839.57,training course
213,2023-08-26,Engineering,recruiting,3237.57,laptop
214,2023-10-15,Operations,cloud,1701.28,cloud overage
215,2024-03-03,Operations,events,2592.93,team offsite
216,2023-08-13,Finance,training,2965.94,training course
217,2024-04-05,Marketing,events,1490.35,client dinner
218,2023-12-18,Operations,office,3840.16,conference travel
219,2024-11-26,Marketing,office,981.63,client dinner
220,2024-02-10,Sales,software,374.92,job board
221,2024-07-02,Sales,office,2106.54,training course
222,2024-02-20,Engineering,travel,3788.15,conference travel
223,2024-07-03,People,training,2287.37,job board
224,2024-07-15,People,software,2138.46,client dinner
225,2023-09-30,Engineering,software,3208.92,client dinner
226,2024-06-15,Sales,events,2543.49,job board
227,2024-01-27,Sales,cloud,308.22,client dinner
228,2023-10-26,Finance,recruiting,2029.38,conference travel
229,2024-02-08,Engineering,cloud,791.05,job board
230,2024-12-26,Engineering,training,893.27,client dinner
231,2024-09-28,Product,travel,1534.4,cloud overage
232,2024-01-19,Product,cloud,255.33,conference travel
233,2023-08-04,Finance,office,1128.73,conference travel
234,2024-02-07,Product,training,1003.55,training course
235,2024-11-13,Sales,software,2117.73,conference travel
236,2024-03-12,People,office,1433.79,team offsite
237,2024-06-17,Engineering,travel,1027.46,training course
238,2024-08-13,Engineering,travel,3291.82,conference travel
239,2024-12-14,Marketing,events,578.34,cloud overage
240,2023-09-23,Sales,recruiting,3073.23,cloud overage
241,2024-05-28,Support,software,1205.45,client dinner
242,2024-06-01,Product,recruiting,1885.24,conference travel
243,2024-11-03,People,cloud,1505.39,job board
244,2023-07-18,Operations,cloud,1913.26,conference travel
245,2024-09-11,Sales,cloud,3658.43,cloud overage
246,2024-02-29,Finance,cloud,3253.63,team offsite
247,2024-04-25,People,travel,3246.86,conference travel
248,2023-09-04,People,office,1253.23,client dinner
249,2024-08-01,People,office,2813.31,job board
250,2024-08-05,Product,recruiting,451.25,training course
251,2024-05-03,Marketing,cloud,1183.24,conference travel
252,2024-03-14,Engineering,travel,3981.25,cloud overage
253,2024-08-02,Product,recruiting,2402.5,conference travel
254,2024-06-15,Product,cloud,2302.8,training course
255,2023-10-15,Support,events,2844.88,conference travel
256,2024-11-17,People,software,1359.82,client dinner
257,2023-11-07,Marketing,training,2718.26,client dinner
258,2024-09-20,Marketing,events,1856.56,training course
259,2024-04-24,People,events,3631.57,cloud overage
260,2024-09-26,Sales,cloud,3495.42,client dinner
261,2024-12-29,Product,training,2293.69,conference travel
262,2024-09-14,Engineering,recruiting,1576.33,job board
263,2023-10-26,Operations,office,3280.05,job board
264,2023-09-22,Product,office,3077.72,conference travel
265,2023-08-31,Sales,events,194.81,laptop
266,2024-06-25,Finance,training,2742.95,job board
267,2023-10-19,Support,cloud,3489.47,client dinner
268,2023-09-07,Sales,travel,1603.23,cloud overage
269,2024-02-20,People,software,737.78,cloud overage
270,2024-09-11,People,office,3834.32,team offsite
271,2024-09-26,People,training,3654.26,cloud overage
272,2023-09-19,Operations,events,1737.74,laptop
273,2024-04-19,Sales,recruiting,2939.63,job board
274,2023-10-23,Marketing,recruiting,3271.87,laptop
275,2023-07-06,Sales,software,3926.48,conference travel
276,2024-05-07,Finance,recruiting,1439.77,team offsite
277,2024-06-23,Marketing,office,2746.9,laptop
278,2023-12-23,Operations,cloud,1654.86,laptop
279,2024-08-26,Support,software,173.9,training course
280,2024-09-22,Support,training,2904.16,cloud overage
281,2024-04-12,People,office,618.11,cloud overage
282,2024-07-28,Product,training,1569.63,conference travel
283,2024-09-18,Engineering,software,493.08,cloud overage
284,2024-01-14,Engineering,software,3662.02,team offsite
285,2023-11-07,Marketing,office,2295.93,laptop
286,2023-12-14,Sales,cloud,2893.1,training course
287,2024-02-28,Marketing,cloud,2354.69,laptop
288,2024-12-25,Finance,training,2649.89,training course
289,2024-04-22,Product,recruiting,669.34,cloud overage
290,2023-08-16,Engineering,software,2102.48,conference travel
291,2023-07-02,Operations,training,3459.86,training course
292,2023-07-11,Finance,office,932.8,training course
293,2023-11-15,Sales,recruiting,3646.88,conference travel
294,2024-07-01,Support,office,304.33,conference travel
295,2024-05-21,Support,cloud,2144.38,cloud overage
296,2024-12-04,Sales,cloud,1175.92,laptop
297,2023-11-01,Engineering,office,349.83,laptop
298,2024-06-14,Engineering,software,3860.05,client dinner
299,2024-01-15,People,travel,2377.03,team offsite
300,2024-02-04,Marketing,software,2476.1,conference travel
301,2024-11-03,People,training,265.07,team offsite
302,2024-04-06,People,cloud,818.75,job board
303,2024-04-16,Sales,travel,2772.82,laptop
304,2023-07-27,Engineering,training,424.1,cloud overage
305,2024-01-05,People,training,1878.36,team offsite
306,2024-01-13,Support,cloud,2745.6,team offsite
307,2024-05-03,Support,software,3455.86,cloud overage
308,2023-08-14,Sales,cloud,3684.53,client dinner
309,2024-01-21,Marketing,recruiting,420.91,cloud overage
310,2024-11-28,Product,software,172.35,laptop
311,2024-03-21,Marketing,recruiting,2710.78,team offsite
312,2023-08-23,Sales,cloud,3421.63,client dinner
313,2024-03-21,Finance,events,2379.12,team offsite
314,2024-04-11,Sales,training,3417.89,laptop
315,2023-07-21,People,software,3268.23,conference travel
316,2024-06-24,Product,office,3597.66,cloud overage
317,2024-05-18,Finance,cloud,1920.8,job board
318,2024-04-26,Marketing,recruiting,2444.49,client dinner
319,2023-07-27,Sales,software,1195.42,client dinner
320,2024-09-13,Marketing,office,529.94,job board
321,2024-09-08,Operations,events,2372.54,team offsite
322,2024-03-15,Sales,travel,1228.51,laptop
323,2024-07-07,Product,training,3297.14,job board
324,2023-09-29,Support,training,229.34,laptop
325,2024-08-19,Product,events,2814.77,job board
326,2023-10-04,Engineering,cloud,3745.21,training course
327,2023-12-07,Finance,software,1052.76,client dinner
328,2023-07-02,Sales,training,2156.05,job board
329,2024-05-01,People,software,3519.83,cloud overage
330,2024-04-16,Sales,software,522.68,cloud overage
331,2023-11-08,People,travel,3398.25,client dinner
332,2024-10-21,People,cloud,2144.3,job board
333,2024-12-01,People,software,3437.78,team offsite
334,2023-11-25,Marketing,software,323.36,job board
335,2024-07-29,Engineering,cloud,1189.64,conference travel
336,2023-10-16,Support,cloud,3370.5,team offsite
337,2023-09-21,Operations,software,3368.53,cloud overage
338,2024-08-30,Product,travel,1844.39,team offsite
339,2024-08-22,People,cloud,2679.18,client dinner
340,2024-01-15,Marketing,software,3780.49,team offsite
341,2024-06-07,Finance,training,3716.31,team offsite
342,2023-12-05,Finance,software,1054.86,client dinner
343,2024-07-22,People,events,943.65,training course
344,2024-05-03,Operations,training,2316.35,team offsite
345,2023-07-04,Operations,travel,1050.37,conference travel
346,2024-06-06,Marketing,travel,3223.77,training course
347,2023-10-08,People,travel,273.64,laptop
348,2024-07-02,Product,office,438.2,conference travel
349,2024-06-29,Sales,training,3259.11,conference travel
350,2023-09-16,Operations,training,1822.99,conference travel
351,2023-07-01,Sales,events,1304.98,job board
352,2023-12-27,Engineering,cloud,2555.13,conference travel
353,2024-07-06,Sales,cloud,3717.03,team offsite
354,2023-08-04,Support,training,2953.26,team offsite
355,2024-03-22,People,events,3051.11,client dinner
356,2024-09-12,Product,cloud,823.05,job board
357,2024-07-25,Product,software,1178.96,client dinner
358,2024-02-23,People,training,1728.36,laptop
359,2024-03-15,People,travel,2808.82,cloud overage
360,2024-08-29,Engineering,office,1307.14,training course
361,2024-07-17,Operations,office,3497.87,conference travel
362,2023-08-15,People,cloud,1183.42,cloud overage
363,2024-11-21,Support,travel,3134.02,client dinner
364,2024-05-08,Product,recruiting,3637.38,cloud overage
365,2023-07-11,Support,software,2545.17,cloud overage
366,2024-09-12,Engineering,recruiting,1511.15,team offsite
367,2023-07-02,Marketing,cloud,2218.28,job board
368,2024-11-28,People,cloud,3929.11,job board
369,2024-05-02,Engineering,events,772.74,job board
370,2023-10-09,Engineering,office,2851.07,team offsite
371,2024-08-11,Finance,cloud,828.84,laptop
372,2024-12-01,Operations,travel,392.41,team offsite
373,2023-10-21,Engineering,training,990.62,conference travel
374,2024-06-08,People,training,3311.9,client dinner
375,2024-04-13,Operations,events,3684.5,training course
376,2024-04-03,Engineering,recruiting,2143.34,client dinner
377,2023-12-07,Support,recruiting,1798.31,team offsite
378,2023-11-02,Operations,office,3604.99,conference travel
379,2024-10-09,Support,training,1571.72,training course
380,2023-12-04,Sales,cloud,553.13,team offsite
381,2024-12-12,People,travel,3962.16,training course
382,2023-09-07,People,recruiting,1623.07,cloud overage
383,2024-10-21,People,software,1137.44,conference travel
384,2024-08-20,Sales,cloud,558.63,training course
385,2024-01-06,Support,events,2916.84,client dinner
386,2024-12-13,Product,events,3632.75,team offsite
387,2023-07-30,Support,recruiting,1793.21,laptop
388,2023-08-22,Product,training,2725.91,job board
389,2024-06-17,Marketing,recruiting,2025.53,laptop
390,2023-08-24,Product,recruiting,3087.62,team offsite
391,2024-01-01,People,events,2304.37,client dinner
392,2024-06-18,Engineering,recruiting,3974.08,training course
393,2024-10-11,Operations,training,3270.5,team offsite
394,2024-09-20,Finance,travel,564.45,training course
395,2024-10-22,People,travel,2757.97,cloud overage
396,2023-10-05,Marketing,recruiting,1445.1,client dinner
397,2024-09-16,People,software,973.12,laptop
398,2023-10-31,Operations,events,3683.95,cloud overage
399,2024-11-29,Marketing,cloud,40.0,job board
400,2024-09-25,Support,travel,1303.66,job board
401,2024-01-24,Finance,events,1756.5,laptop
402,2024-04-11,Operations,events,1653.19,laptop
403,2023-11-25,Marketing,travel,3517.37,laptop
404,2024-04-17,Product,office,3799.24,client dinner
405,2024-02-06,Engineering,training,1428.76,training course
406,2024-05-08,Engineering,travel,3244.75,cloud overage
407,2024-08-17,Sales,office,2498.91,training course
408,2024-11-26,Finance,recruiting,2513.37,training course
409,2024-09-02,Finance,training,3225.24,team offsite
410,2024-06-16,People,recruiting,786.21,training course
411,2023-10-27,Product,events,3102.34,cloud overage
412,2024-11-25,Product,software,2340.49,cloud overage
413,2023-10-21,Marketing,recruiting,1003.45,laptop
414,2024-04-11,Support,cloud,2076.26,training course
415,2024-09-25,Sales,travel,950.06,client dinner
416,2023-10-07,Finance,cloud,1305.91,team offsite
417,2023-09-13,Engineering,travel,1946.13,job board
418,2023-09-19,Product,software,1419.08,team offsite
419,2023-12-05,Support,travel,2126.39,client dinner
420,2023-09-17,Engineering,recruiting,302.5,cloud overage
421,2024-02-19,People,software,441.34,client dinner
422,2024-06-10,Product,events,2804.97,cloud overage
423,2024-10-07,Engineering,office,1558.61,training course
424,2023-11-02,Operations,recruiting,70.8,client dinner
425,2023-07-29,Finance,recruiting,2471.77,conference travel
426,2024-09-19,Engineering,office,2457.56,laptop
427,2024-03-06,Finance,recruiting,2426.72,client dinner
428,2024-06-19,Sales,software,936.13,training course
429,2023-08-25,Support,recruiting,1233.65,cloud overage
430,2024-12-20,Sales,cloud,57.14,conference travel
431,2023-07-31,Operations,events,230.29,client dinner
432,2023-12-29,People,cloud,2180.67,job board
433,2024-11-04,Product,travel,689.46,laptop
434,2024-12-17,Finance,training,1556.76,laptop
435,2023-11-12,People,events,866.21,client dinner
436,2024-10-24,Support,recruiting,3780.02,cloud overage
437,2024-09-19,People,travel,1267.4,team offsite
438,2024-09-06,Sales,cloud,2009.06,training course
439,2024-04-08,Support,travel,1587.48,cloud overage
440,2023-08-22,Product,cloud,3349.6,client dinner
441,2024-07-11,Finance,training,53.11,cloud overage
442,2024-04-29,Support,software,3547.39,job board
443,2024-01-14,Marketing,training,984.65,laptop
444,2024-06-09,People,office,2802.28,job board
445,2023-09-11,Operations,recruiting,3733.98,laptop
446,2023-09-20,Engineering,software,1575.57,client dinner
447,2023-07-14,Sales,office,2409.44,cloud overage
448,2024-04-05,People,cloud,135.61,training course
449,2024-01-09,Support,training,1472.7,job board
450,2024-03-13,Product,training,1826.33,client dinner
451,2024-03-18,People,software,3861.11,training course
452,2023-07-06,Sales,cloud,36.44,client dinner
453,2024-09-28,Marketing,training,501.09,team offsite
454,2023-07-21,Product,recruiting,2635.24,client dinner
455,2023-12-03,Product,events,1091.46,training course
456,2024-02-14,Sales,training,1475.73,conference travel
457,2024-06-19,Finance,software,700.67,laptop
458,2023-11-29,Operations,travel,986.68,team offsite
459,2024-01-28,Product,office,2706.76,job board
460,2023-10-04,Marketing,events,1576.57,conference travel
461,2024-01-23,Operations,cloud,1711.51,team offsite
462,2023-08-23,Operations,office,3483.01,cloud overage
463,2024-05-11,Sales,software,1933.59,conference travel
464,2024-11-26,Marketing,office,2682.96,cloud overage
465,2024-01-16,Support,travel,2021.02,team offsite
466,2023-10-10,Marketing,events,1214.68,training course
467,2024-01-26,Sales,training,3261.74,cloud overage
468,2023-08-10,Engineering,office,1565.43,cloud overage
469,2023-08-19,People,training,3313.62,laptop
470,2024-05-29,People,travel,3927.32,laptop
471,2023-12-25,Engineering,training,3573.93,client dinner
472,2023-08-29,People,events,3372.14,client dinner
473,2023-12-01,People,software,2182.61,conference travel
474,2023-12-19,Operations,training,2691.39,job board
475,2023-12-26,Support,office,3564.88,conference travel
476,2024-08-25,Marketing,training,1890.19,team offsite
477,2024-02-12,People,travel,1757.76,conference travel
478,2023-11-26,Marketing,software,2516.86,cloud overage
479,2024-12-13,Finance,training,295.7,client dinner
480,2024-12-07,Product,events,1976.19,client dinner
481,2024-07-09,Sales,cloud,1685.26,training course
482,2024-04-25,Marketing,travel,1242.16,team offsite
483,2024-10-17,Support,recruiting,373.96,client dinner
484,2024-09-15,Engineering,software,1831.81,cloud overage
485,2024-04-08,Engineering,travel,718.6,training course
486,2024-10-07,People,travel,3277.57,laptop
487,2024-10-18,Engineering,software,3360.7,client dinner
488,2023-10-15,Sales,travel,1067.0,cloud overage
489,2023-10-02,Finance,training,2813.45,client dinner
490,2024-03-31,Finance,training,1331.66,job board
491,2023-08-26,Support,office,2412.41,laptop
492,2024-09-01,Marketing,training,1306.74,job board
493,2023-07-14,Product,office,3649.29,team offsite
494,2023-11-28,People,recruiting,3640.34,laptop
495,2023-07-22,Sales,travel,1487.27,conference travel
496,2024-01-04,Operations,recruiting,2778.02,client dinner
497,2023-11-21,Finance,events,1711.57,laptop
498,2024-08-18,Marketing,software,1113.48,laptop
499,2024-11-03,Finance,cloud,421.74,conference travel
500,2024-01-03,Sales,travel,3199.96,job board
501,2023-10-29,Engineering,training,788.45,training course
502,2024-06-29,Finance,events,1789.46,client dinner
503,2024-10-04,Operations,events,3947.62,conference travel
504,2024-04-13,People,software,3074.56,training course
505,2023-07-08,Sales,training,2909.87,team offsite
506,2023-08-18,Support,software,2921.39,training course
507,2023-10-19,Product,recruiting,62.68,training course
508,2024-04-22,Marketing,training,2617.41,laptop
509,2024-07-11,Sales,cloud,385.49,client dinner
510,2024-06-21,Operations,cloud,3871.87,laptop
511,2024-11-10,Engineering,events,2109.89,training course
512,2023-11-25,Marketing,events,1790.42,client dinner
513,2023-07-24,Support,software,102.95,training course
514,2023-12-05,Engineering,recruiting,3917.59,laptop
515,2023-12-14,Product,events,3281.83,laptop
516,2024-02-24,Support,office,2443.41,cloud overage
517,2024-12-17,Product,recruiting,1808.65,team offsite
518,2023-12-01,Product,software,3051.61,laptop
519,2024-03-26,Sales,office,3985.3,conference travel
520,2024-11-19,People,recruiting,3810.61,cloud overage
521,2024-01-21,Marketing,cloud,2649.07,training course
522,2024-01-01,Operations,software,591.92,training course
523,2023-07-24,Product,recruiting,1409.6,training course
524,2023-11-03,Operations,cloud,1645.69,job board
525,2024-10-22,Engineering,office,3656.41,training course
526,2024-06-11,Product,software,1094.45,team offsite
527,2023-11-12,Marketing,training,372.29,conference travel
528,2023-10-17,People,events,1856.73,team offsite
529,2023-11-27,Operations,events,1847.62,team offsite
530,2024-09-18,People,cloud,911.97,team offsite
531,2024-09-08,Operations,office,1232.02,training course
532,2024-11-27,Engineering,travel,3608.24,team offsite
533,2023-09-22,Product,cloud,2597.15,client dinner
534,2024-07-10,Sales,recruiting,3794.91,team offsite
535,2023-07-26,Operations,cloud,1824.81,client dinner
536,2024-11-05,Product,travel,1314.2,laptop
537,2023-10-06,Support,recruiting,1438.95,conference travel
538,2023-10-26,Operations,software,3307.89,job board
539,2024-03-11,Marketing,training,1335.25,training course
540,2024-12-15,Finance,travel,3426.82,training course
541,2023-10-27,Marketing,travel,1338.92,client dinner
542,2024-05-02,Marketing,cloud,284.46,client dinner
543,2024-09-23,Operations,office,1516.48,conference travel
544,2023-10-26,Operations,cloud,3810.77,client dinner
545,2024-10-02,Finance,events,2799.45,training course
546,2024-01-30,Sales,recruiting,2157.09,team offsite
547,2023-08-20,Product,training,1000.61,conference travel
548,2024-04-30,Marketing,training,72.6,conference travel
549,2023-09-10,Product,events,1242.24,client dinner
550,2023-07-26,Product,recruiting,2192.03,job board
551,2023-08-02,Product,software,226.98,client dinner
552,2024-08-27,Finance,travel,2088.95,client dinner
553,2024-12-17,Sales,events,2973.25,cloud overage
554,2024-10-06,Operations,training,2686.3,cloud overage
555,2024-06-11,Support,cloud,580.92,laptop
556,2023-12-23,Operations,office,2030.75,cloud overage
557,2023-08-29,Marketing,office,971.99,laptop
558,2024-08-20,Sales,events,1087.12,team offsite
559,2023-11-05,Product,recruiting,3309.04,training course
560,2023-10-28,Finance,events,2386.45,client dinner
561,2024-12-02,Finance,events,3785.38,team offsite
